# Spacecraft Trajectory — mars-approach (Mars-Phobos)
time_h,x_km,y_km,vx_kmh,vy_kmh,speed_kmh,dist_Mars_km,dist_Phobos_km,bx_Mars_km,by_Mars_km,bx_Phobos_km,by_Phobos_km
7.722000,1768.636,3754.531,-10482.3426,5563.1328,11867.0954,4150.250,8483.427,0.000,0.000,9376.003,0.000
7.762000,1481.152,3928.456,-10897.6378,4359.0860,11737.1266,4198.402,8818.248,0.000,0.000,9376.007,0.000
7.802000,1188.109,4078.571,-11170.3057,3145.0120,11604.6038,4248.098,9147.487,0.000,0.000,9376.013,0.000
7.842000,891.647,4205.221,-11306.4817,1937.3863,11471.2682,4298.711,9469.344,0.000,0.000,9376.021,0.000
7.882000,593.717,4308.932,-11313.8320,750.5016,11338.6969,4349.643,9782.430,0.000,0.000,9376.031,0.000
7.922000,296.073,4390.362,-11201.0323,-403.4958,11208.2975,4400.334,10085.690,0.000,0.000,9376.044,0.000
7.962000,0.277,4450.264,-10977.3311,-1514.4804,11081.3107,4450.264,10378.348,0.000,0.000,9376.058,0.000
8.002000,-292.292,4489.449,-10652.2002,-2574.1659,10958.8183,4498.954,10659.853,0.000,0.000,9376.074,0.000
8.042000,-580.428,4508.764,-10235.0683,-3575.8945,10841.7547,4545.971,10929.833,0.000,0.000,9376.092,0.000
8.082000,-863.081,4509.062,-9735.1278,-4514.4158,10730.9209,4590.921,11188.061,0.000,0.000,9376.112,0.000
8.122000,-1139.338,4491.189,-9161.2032,-5385.6703,10626.9982,4633.451,11434.419,0.000,0.000,9376.134,0.000
8.162000,-1408.413,4455.964,-8521.6722,-6186.5865,10530.5627,4673.248,11668.872,0.000,0.000,9376.158,0.000
8.202000,-1669.623,4404.178,-7824.4249,-6914.8966,10442.0984,4710.034,11891.451,0.000,0.000,9376.184,0.000
8.242000,-1922.374,4336.578,-7076.8549,-7568.9737,10362.0093,4743.567,12102.229,0.000,0.000,9376.211,0.000
8.282000,-2166.150,4253.869,-6285.8735,-8147.6911,10290.6305,4773.637,12301.308,0.000,0.000,9376.240,0.000
8.322000,-2400.491,4156.709,-5457.9398,-8650.3021,10228.2370,4800.061,12488.810,0.000,0.000,9376.271,0.000
8.362000,-2624.985,4045.712,-4599.1026,-9076.3401,10175.0526,4822.689,12664.862,0.000,0.000,9376.304,0.000
8.402000,-2839.256,3921.444,-3715.0506,-9425.5368,10131.2559,4841.394,12829.594,0.000,0.000,9376.339,-0.000
8.442000,-3042.950,3784.431,-2811.1670,-9697.7558,10096.9861,4856.075,12983.126,0.000,0.000,9376.375,0.000
8.482000,-3235.728,3635.160,-1892.5884,-9892.9416,10072.3475,4866.654,13125.565,0.000,0.000,9376.412,0.000
